timestamp,TEMP (C),RH (%),Wind Speed,Wind Direction,GHI (w/m2),DNI (w/m2),DHI (w/m2)
2022-07-16-04,25.56,84.36,2.57048,190,0,0,0
2022-07-16-05,25,84.58,1.542288,190,0,0,0
2022-07-16-06,24.44,87.73,1.542288,150,37,99,30
2022-07-16-07,25,87.48,1.542288,100,210,445,83
2022-07-16-08,26.11,84.41,2.57048,150,417,627,112
2022-07-16-09,28.33,77.12,4.112768,180,613,712,137
2022-07-16-10,30,65.27,2.056384,195,779,763,154
2022-07-16-11,32.22,51.93,4.112768,210,899,794,166
2022-07-16-12,33.89,47.28,3.084576,206.6666667,966,820,163
2022-07-16-13,34.44,44.59,2.056384,203.3333333,967,818,165
2022-07-16-14,36.11,37.58,4.112768,200,906,803,161
2022-07-16-15,36.67,35.22,5.14096,210,788,770,153
2022-07-16-16,36.11,35.05,5.14096,190,454,125,369
2022-07-16-17,37.22,32.98,4.112768,160,425,613,121
2022-07-16-18,36.67,33.9,3.084576,180,217,429,91
2022-07-16-19,36.67,32.85,4.626864,180,42,91,34
2022-07-16-20,36.11,33.97,2.57048,180,0,0,0
2022-07-16-21,33.89,39.65,3.084576,160,0,0,0
2022-07-16-22,32.78,48.8,4.626864,180,0,0,0
2022-07-16-23,31.67,53.42,5.655056,190,0,0,0
